species,order,status,mean.within,max.within,n.haplo,min.between,reads,size,island
Coleoptera_109,Coleoptera,unknown,0,0,1,0.2376,24,1,1
Coleoptera_95,Coleoptera,unknown,0,0,2,0.2516,40,2,1
Coleoptera_72,Coleoptera,unknown,0.0012,0.0024,1,0.0956,18,1,1
Coleoptera_94,Coleoptera,unknown,0,0,3,0.0956,60,1,1
Coleoptera_37,Coleoptera,unknown,0,0,1,0.0975,92,2,2
Coleoptera_91,Coleoptera,unknown,0,0,1,0.1967,6,2,1
Coleoptera_3,Coleoptera,invasive,0,0,1,0.1993,465,1,2
Coleoptera_31,Coleoptera,unknown,0,0,3,0.1354,581,4,1
Coleoptera_5,Coleoptera,invasive,0,0,1,0.1354,234,2,1
Coleoptera_106,Coleoptera,unknown,0,0,2,0.0494,18,1,1
Coleoptera_105,Coleoptera,unknown,0,0,1,0.0494,28,2,1
Coleoptera_20,Coleoptera,unknown,0.0093,0.0177,1,0.0511,161,1,1
Coleoptera_98,Coleoptera,unknown,0,0,1,0.0545,11,2,1
Coleoptera_88,Coleoptera,unknown,0,0,2,0.0511,59,2,1
Coleoptera_85,Coleoptera,unknown,0,0,1,0.0569,7,2,1
Coleoptera_29,Coleoptera,invasive,0,0,1,0.0569,73,2,1
Coleoptera_100,Coleoptera,invasive,0,0,2,0.2756,25,2,1
Coleoptera_92,Coleoptera,unknown,0,0,2,0.2998,37,2,1
Coleoptera_55,Coleoptera,unknown,0.0159,0.0318,2,0.1527,44,2,2
Coleoptera_93,Coleoptera,unknown,0,0,1,0.1527,20,2,2
Coleoptera_27,Coleoptera,unknown,0,0,3,0.1176,135,1,2
Coleoptera_49,Coleoptera,unknown,0,0,1,0.2801,19,2,1
Coleoptera_86,Coleoptera,unknown,0.0121,0.0243,3,0.0887,67,2,3
Coleoptera_33,Coleoptera,unknown,0.005,0.0099,3,0.0887,177,3,1
Coleoptera_89,Coleoptera,unknown,0,0,1,0.1465,11,2,1
Coleoptera_78,Coleoptera,unknown,0,0,3,0.1458,47,2,2
Coleoptera_8,Coleoptera,unknown,0,0,3,0.1349,9,2,1
Coleoptera_74,Coleoptera,unknown,0.0106,0.0237,3,0.1058,79,2,1
Coleoptera_47,Coleoptera,unknown,0,0,1,0.1058,51,4,1
Coleoptera_111,Coleoptera,invasive,0,0,1,0.0813,54,1,1
Coleoptera_4,Coleoptera,unknown,0,0,1,0.0813,661,3,2
Coleoptera_34,Coleoptera,unknown,0,0,3,0.1834,151,3,2
Coleoptera_10,Coleoptera,unknown,0,0,3,0.2044,1162,2,2
Coleoptera_38,Coleoptera,unknown,0,0,1,0.0901,45,1,2
Coleoptera_117,Coleoptera,unknown,0,0,1,0.1947,27,2,1
Coleoptera_23,Coleoptera,unknown,0.0012,0.0024,1,0.2434,87,1,2
Coleoptera_14,Coleoptera,invasive,0,0,1,0.2434,5,2,1
Coleoptera_80,Coleoptera,unknown,0.0012,0.0024,3,0.1558,94,3,1
Coleoptera_22,Coleoptera,invasive,0,0,1,0.1558,101,4,2
Coleoptera_18,Coleoptera,unknown,0,0,1,0.1882,45,2,1
Coleoptera_54,Coleoptera,unknown,0.0166,0.0297,3,0.0899,131,2,1
Coleoptera_99,Coleoptera,unknown,0,0,3,0.0899,56,4,1
Coleoptera_83,Coleoptera,unknown,0,0,1,0.1531,14,1,1
Coleoptera_48,Coleoptera,unknown,0,0,3,0.1266,113,2,1
Coleoptera_97,Coleoptera,unknown,0,0,1,0.0379,7,2,1
Coleoptera_101,Coleoptera,unknown,0,0,2,0.0443,60,3,1
Coleoptera_68,Coleoptera,unknown,0.0109,0.0219,1,0.0443,32,4,1
Coleoptera_61,Coleoptera,unknown,0.0244,0.0501,1,0.0817,25,1,1
Coleoptera_62,Coleoptera,unknown,0.0114,0.0246,1,0.0902,33,2,1
Coleoptera_24,Coleoptera,unknown,0.0085,0.0191,2,0.0899,98,2,1
Coleoptera_65,Coleoptera,unknown,0,0,1,0.0899,26,2,1
Coleoptera_43,Coleoptera,unknown,0,0,3,0.1058,290,4,1
Coleoptera_13,Coleoptera,unknown,0,0,1,0.0643,304,1,1
Coleoptera_6,Coleoptera,unknown,0.0305,0.0596,3,0.0556,364,2,3
Coleoptera_19,Coleoptera,unknown,0.0158,0.0317,1,0.0589,96,1,1
Coleoptera_114,Coleoptera,unknown,0.0036,0.0072,1,0.0649,20,2,1
Collembola_2,Collembola,invasive,0.0428,0.0885,21,0.2284,14413,2,5
Collembola_15,Collembola,unknown,0.0157,0.0405,10,0.1171,346,2,2
Collembola_17,Collembola,unknown,0.0114,0.0237,3,0.111,222,2,1
Collembola_23,Collembola,unknown,0,0,1,0.111,33,2,1
Collembola_19,Collembola,unknown,0.0218,0.0522,11,0.1414,726,2,1
Collembola_1,Collembola,unknown,0,0,1,0.2196,41580,2,5
Collembola_21,Collembola,unknown,0.0317,0.0792,4,0.1251,233,2,1
Collembola_14,Collembola,unknown,0.0134,0.0272,3,0.1251,718,2,1
Collembola_4,Collembola,unknown,0.0263,0.0446,3,0.1937,1802,1,2
Collembola_12,Collembola,unknown,0.0134,0.0267,2,0.2117,174,2,1
Collembola_16,Collembola,unknown,0,0,1,0.234,86,2,1
Collembola_13,Collembola,unknown,0,0,1,0.1937,97,2,1
Collembola_11,Collembola,unknown,0.0012,0.0024,2,0.1256,245,2,1
Collembola_20,Collembola,unknown,0,0,1,0.1256,49,2,1
Collembola_22,Collembola,unknown,0.0202,0.0325,4,0.1352,216,2,1
Collembola_25,Collembola,unknown,0,0,1,0.1352,29,2,1
Collembola_18,Collembola,unknown,0,0,1,0.1368,112,2,1
Collembola_26,Collembola,unknown,0,0,1,0.242,5,2,1
Collembola_5,Collembola,unknown,0.0241,0.0474,5,0.1279,1286,2,3
Collembola_9,Collembola,unknown,0.0072,0.0145,2,0.1279,379,2,2
Collembola_7,Collembola,unknown,0.0102,0.0211,5,0.1799,688,2,4
Collembola_24,Collembola,unknown,0.0012,0.0024,2,0.1875,135,2,1
Collembola_3,Collembola,unknown,0,0,1,0.1875,3642,2,3
Collembola_8,Collembola,unknown,0.0124,0.0249,5,0.2224,1306,2,1
Collembola_6,Collembola,unknown,0.0012,0.0024,2,0.2224,735,2,1
Collembola_10,Collembola,unknown,0.0193,0.0335,4,0.2221,626,2,1
Orthoptera_1,Orthoptera,unknown,0.0205,0.0475,31,0.0475,21366,3,4
Orthoptera_16,Orthoptera,unknown,0.0036,0.0072,2,0.0357,74,2,1
Orthoptera_19,Orthoptera,unknown,0,0,1,0.0357,153,2,3
Orthoptera_25,Orthoptera,unknown,0,0,1,0.0518,4,3,1
Orthoptera_15,Orthoptera,unknown,0.0054,0.0125,3,0.0521,123,2,2
Orthoptera_22,Orthoptera,unknown,0.0012,0.0024,2,0.0484,14,2,1
Orthoptera_7,Orthoptera,native,0.004,0.0065,6,0.0633,235,4,1
Orthoptera_32,Orthoptera,native,0.0012,0.0024,2,0.0421,53,3,1
Orthoptera_30,Orthoptera,native,0.0101,0.0205,7,0.0421,433,4,3
Orthoptera_31,Orthoptera,native,0.0219,0.0463,5,0.0871,393,4,2
Orthoptera_5,Orthoptera,unknown,0.006,0.012,2,0.2437,313,2,2
Orthoptera_2,Orthoptera,invasive,0.0555,0.1096,4,0.24,2811,4,4
Orthoptera_6,Orthoptera,unknown,0.0511,0.1021,2,0.2506,430,4,2
Orthoptera_4,Orthoptera,unknown,0,0,1,0.1573,533,3,2
Orthoptera_3,Orthoptera,unknown,0.0283,0.0586,14,0.0661,5931,3,3
Orthoptera_28,Orthoptera,unknown,0,0,1,0.0623,12,3,1
Orthoptera_27,Orthoptera,unknown,0,0,1,0.0623,6,3,1
Orthoptera_29,Orthoptera,unknown,0,0,1,0.1016,13,3,1
Orthoptera_8,Orthoptera,unknown,0,0,1,0.1224,1,3,1
Orthoptera_20,Orthoptera,unknown,0,0,1,0.0312,4,2,1
Orthoptera_12,Orthoptera,unknown,0.0119,0.0238,2,0.0312,182,3,1
Orthoptera_23,Orthoptera,unknown,0,0,1,0.0802,1,3,1
Orthoptera_24,Orthoptera,unknown,0,0,1,0.0424,11,2,2
Orthoptera_11,Orthoptera,unknown,0.0166,0.0365,5,0.0443,157,4,3
Orthoptera_10,Orthoptera,unknown,0.0093,0.0168,16,0.0443,491,4,2
Orthoptera_13,Orthoptera,unknown,0.0048,0.0096,2,0.0523,79,2,1
Orthoptera_18,Orthoptera,unknown,0.0012,0.0024,2,0.0424,38,2,2
Orthoptera_26,Orthoptera,unknown,0,0,1,0.0619,7,2,2
Orthoptera_17,Orthoptera,unknown,0.0012,0.0024,2,0.0388,29,2,1
Orthoptera_14,Orthoptera,unknown,0.0012,0.0024,2,0.0388,68,3,2
Orthoptera_21,Orthoptera,unknown,0.0032,0.0074,3,0.0424,45,2,2
Orthoptera_9,Orthoptera,unknown,0.0107,0.0295,6,0.0424,405,2,2
Diptera_14,Diptera,unknown,0.0606,0.1186,13,0.0869,412,1,3
