species,order,status,mean.within,max.within,n.haplo,min.between,reads,size,island
Hemiptera_110,Hemiptera,unknown,0,0,1,0.1123,12,2,1
Hemiptera_116,Hemiptera,unknown,0,0,1,0.138,54,1,1
Hemiptera_206,Hemiptera,unknown,0,0,1,0.1207,6,2,1
Hemiptera_211,Hemiptera,unknown,0,0,1,0.1148,4,1,1
Hemiptera_138,Hemiptera,unknown,0,0,1,0.0805,82,1,1
Hemiptera_88,Hemiptera,unknown,0,0,1,0.0805,133,1,1
Hemiptera_196,Hemiptera,unknown,0,0,1,0.0753,12,1,1
Hemiptera_191,Hemiptera,unknown,0,0,1,0.0753,20,1,1
Hemiptera_5,Hemiptera,invasive,0,0,1,0.2338,3173,1,2
Hemiptera_167,Hemiptera,native,0.0012,0.0024,2,0.1657,24,1,1
Hemiptera_190,Hemiptera,native,0.0072,0.0145,2,0.1657,30,1,1
Hemiptera_214,Hemiptera,unknown,0,0,1,0.272,20,2,1
Hemiptera_202,Hemiptera,unknown,0,0,1,0.0869,24,3,2
Hemiptera_64,Hemiptera,unknown,0.0048,0.0096,2,0.0955,203,3,1
Hemiptera_2,Hemiptera,unknown,0.0178,0.0404,3,0.049,8654,2,5
Hemiptera_113,Hemiptera,unknown,0,0,1,0.049,21,4,1
Hemiptera_93,Hemiptera,unknown,0,0,1,0.1376,222,1,1
Hemiptera_31,Hemiptera,unknown,0,0,1,0.1376,528,1,1
Hemiptera_19,Hemiptera,unknown,0,0,1,0.2644,115,2,3
Hemiptera_199,Hemiptera,invasive,0,0,1,0.0837,5,1,1
Hemiptera_102,Hemiptera,unknown,0,0,1,0.0926,59,1,2
Hemiptera_193,Hemiptera,unknown,0,0,1,0.0837,7,1,1
Hemiptera_1,Hemiptera,invasive,0.0274,0.0594,12,0.212,5730,3,5
Hemiptera_15,Hemiptera,unknown,0,0,1,0.212,528,3,3
Hemiptera_24,Hemiptera,unknown,0.0261,0.0507,17,0.0538,844,3,3
Hemiptera_35,Hemiptera,unknown,0.0097,0.0194,2,0.046,100,3,1
Hemiptera_8,Hemiptera,unknown,0.0166,0.0297,7,0.046,3606,3,1
Hemiptera_71,Hemiptera,unknown,0.0012,0.0024,2,0.0558,136,2,1
Hemiptera_201,Hemiptera,unknown,0.0036,0.0072,2,0.1245,18,2,1
Hemiptera_99,Hemiptera,unknown,0.0172,0.0343,2,0.0914,15,2,1
Hemiptera_45,Hemiptera,unknown,0.0143,0.04,5,0.0504,144,1,1
Hemiptera_55,Hemiptera,unknown,0.0024,0.0048,2,0.0504,64,2,1
Hemiptera_77,Hemiptera,unknown,0.0012,0.0024,2,0.0984,43,3,1
Hemiptera_106,Hemiptera,unknown,0.0146,0.0335,7,0.0703,97,2,1
Hemiptera_13,Hemiptera,unknown,0.0378,0.0592,13,0.0711,2239,2,4
Hemiptera_18,Hemiptera,unknown,0.0196,0.039,11,0.0703,358,2,1
Hemiptera_108,Hemiptera,unknown,0,0,1,0.1298,83,2,1
Hemiptera_56,Hemiptera,unknown,0,0,1,0.1871,52,2,1
Hemiptera_215,Hemiptera,native,0,0,1,0.0957,5,2,1
Hemiptera_148,Hemiptera,native,0,0,1,0.0466,20,1,1
Hemiptera_46,Hemiptera,native,0,0,1,0.0466,81,2,1
Hemiptera_95,Hemiptera,native,0,0,1,0.0859,164,2,1
Hemiptera_78,Hemiptera,native,0.0012,0.0024,2,0.1008,138,2,1
Hemiptera_25,Hemiptera,native,0.0109,0.0219,2,0.0489,338,2,1
Hemiptera_157,Hemiptera,native,0.0048,0.0096,2,0.0785,18,2,1
Hemiptera_173,Hemiptera,native,0.0036,0.0072,2,0.0638,43,2,1
Hemiptera_90,Hemiptera,native,0.0134,0.0268,2,0.0638,105,2,1
Hemiptera_151,Hemiptera,native,0,0,1,0.0767,40,2,1
Hemiptera_103,Hemiptera,native,0.0032,0.006,3,0.0876,202,2,1
Hemiptera_51,Hemiptera,native,0.0259,0.049,6,0.0635,684,2,4
Hemiptera_94,Hemiptera,native,0,0,1,0.0635,23,2,1
Hemiptera_162,Hemiptera,native,0,0,1,0.1417,52,1,1
Hemiptera_68,Hemiptera,native,0.0053,0.012,3,0.0866,116,2,1
Hemiptera_119,Hemiptera,native,0,0,1,0.0866,25,2,1
Hemiptera_10,Hemiptera,native,0,0,1,0.0984,368,2,1
Hemiptera_83,Hemiptera,native,0,0,1,0.1063,69,2,1
Hemiptera_11,Hemiptera,native,0.0048,0.0096,2,0.1063,218,1,1
Hemiptera_218,Hemiptera,unknown,0,0,1,0.0639,20,3,1
Hemiptera_12,Hemiptera,unknown,0.0125,0.0258,6,0.0639,624,3,2
Hemiptera_205,Hemiptera,unknown,0,0,1,0.0628,5,3,1
Hemiptera_59,Hemiptera,unknown,0.0087,0.0197,3,0.0851,357,3,1
Hemiptera_9,Hemiptera,unknown,0.0097,0.0194,2,0.0795,353,3,4
Hemiptera_36,Hemiptera,unknown,0.018,0.0386,3,0.0795,289,3,2
Hemiptera_129,Hemiptera,native,0.0024,0.0048,2,0.0871,74,3,1
Hemiptera_7,Hemiptera,unknown,0.02,0.039,12,0.0487,5024,3,2
Hemiptera_61,Hemiptera,unknown,0,0,1,0.0487,55,3,1
Hemiptera_125,Hemiptera,unknown,0.0024,0.0048,2,0.1401,21,2,1
Hemiptera_6,Hemiptera,unknown,0,0,1,0.262,1272,2,3
Hemiptera_117,Hemiptera,unknown,0,0,1,0.2175,23,1,1
Hemiptera_222,Hemiptera,unknown,0,0,1,0.0467,3,2,1
Hemiptera_79,Hemiptera,unknown,0,0,1,0.0467,137,2,1
Hemiptera_160,Hemiptera,unknown,0.0187,0.0374,2,0.0398,44,2,2
Hemiptera_111,Hemiptera,unknown,0,0,1,0.0398,49,3,1
Hemiptera_204,Hemiptera,unknown,0.0012,0.0024,2,0.0689,14,3,1
Hemiptera_178,Hemiptera,unknown,0,0,1,0.0689,20,1,1
Hemiptera_38,Hemiptera,unknown,0.012,0.0333,5,0.1368,359,2,3
Hemiptera_112,Hemiptera,unknown,0.0092,0.0252,5,0.069,64,1,2
Hemiptera_140,Hemiptera,unknown,0.0036,0.0072,2,0.069,34,2,2
Hemiptera_84,Hemiptera,unknown,0,0,1,0.174,30,3,1
Hemiptera_60,Hemiptera,unknown,0.0212,0.0406,4,0.1984,66,3,2
Hemiptera_186,Hemiptera,unknown,0,0,1,0.1876,9,2,1
Hemiptera_73,Hemiptera,unknown,0,0,1,0.1862,51,2,3
Hemiptera_139,Hemiptera,unknown,0,0,1,0.0776,20,2,1
Hemiptera_126,Hemiptera,unknown,0,0,1,0.0776,30,2,1
Hemiptera_101,Hemiptera,unknown,0,0,1,0.2622,33,2,1
Hemiptera_180,Hemiptera,unknown,0,0,1,0.2199,15,2,1
Hemiptera_92,Hemiptera,unknown,0,0,1,0.2199,80,1,1
Hemiptera_87,Hemiptera,invasive,0.0024,0.0048,2,0.2061,35,1,1
Hemiptera_115,Hemiptera,unknown,0,0,1,0.2061,17,2,1
Hemiptera_221,Hemiptera,unknown,0,0,1,0.0978,15,2,1
Hemiptera_41,Hemiptera,unknown,0.0121,0.0242,2,0.0978,244,2,1
Hemiptera_171,Hemiptera,unknown,0,0,1,0.1153,14,2,1
Hemiptera_63,Hemiptera,unknown,0.0165,0.0308,11,0.0578,972,2,1
Hemiptera_49,Hemiptera,unknown,0,0,1,0.0564,112,2,1
Hemiptera_67,Hemiptera,unknown,0.0012,0.0024,2,0.0518,98,2,1
Hemiptera_28,Hemiptera,unknown,0.0028,0.0057,4,0.0518,278,2,1
Hemiptera_52,Hemiptera,unknown,0,0,1,0.0804,140,2,2
Hemiptera_169,Hemiptera,unknown,0.0024,0.0048,2,0.1081,40,2,1
Hemiptera_165,Hemiptera,unknown,0,0,1,0.1135,15,2,1
Hemiptera_195,Hemiptera,unknown,0,0,1,0.1227,19,1,1
Hemiptera_216,Hemiptera,unknown,0,0,1,0.1028,9,1,1
Hemiptera_80,Hemiptera,unknown,0.0176,0.0435,11,0.0794,563,2,2
Hemiptera_118,Hemiptera,unknown,0,0,1,0.0794,51,2,1
Hemiptera_172,Hemiptera,unknown,0.0097,0.0193,2,0.0876,28,1,1
Hemiptera_177,Hemiptera,unknown,0,0,1,0.0876,10,1,1
Hemiptera_17,Hemiptera,unknown,0.019,0.0341,10,0.09,1735,2,1
Hemiptera_65,Hemiptera,unknown,0,0,1,0.154,24,2,1
Hemiptera_89,Hemiptera,unknown,0.0105,0.023,8,0.0574,771,3,1
Hemiptera_182,Hemiptera,unknown,0,0,1,0.0574,76,3,1
Hemiptera_122,Hemiptera,unknown,0,0,1,0.1143,78,3,1
Hemiptera_39,Hemiptera,unknown,0.0036,0.0072,2,0.1143,533,3,1
Hemiptera_44,Hemiptera,unknown,0.01,0.024,5,0.078,290,2,1
Hemiptera_107,Hemiptera,unknown,0,0,1,0.2046,25,2,1
Hemiptera_53,Hemiptera,unknown,0,0,1,0.212,57,2,1
Hemiptera_147,Hemiptera,unknown,0.0153,0.032,4,0.0594,171,3,1
Hemiptera_200,Hemiptera,unknown,0,0,1,0.0594,3,2,1
Hemiptera_100,Hemiptera,unknown,0.0073,0.0144,4,0.0555,130,2,1
Hemiptera_86,Hemiptera,unknown,0,0,1,0.0555,74,3,1
Hemiptera_132,Hemiptera,unknown,0.0126,0.0245,9,0.1557,333,3,2
Hemiptera_127,Hemiptera,unknown,0,0,1,0.1698,14,3,1
Hemiptera_43,Hemiptera,invasive,0.0031,0.006,3,0.1764,258,1,3
Hemiptera_128,Hemiptera,unknown,0,0,1,0.1595,15,2,2
Hemiptera_212,Hemiptera,unknown,0,0,1,0.2103,19,4,1
Hemiptera_50,Hemiptera,unknown,0.0047,0.0097,3,0.1966,124,3,1
Hemiptera_192,Hemiptera,unknown,0,0,1,0.194,14,3,1
Hemiptera_124,Hemiptera,unknown,0,0,1,0.194,84,3,1
Hemiptera_37,Hemiptera,unknown,0,0,1,0.2508,204,3,1
Hemiptera_159,Hemiptera,invasive,0.0012,0.0024,2,0.1398,38,3,1
Hemiptera_33,Hemiptera,unknown,0,0,1,0.184,107,4,1
Hemiptera_58,Hemiptera,unknown,0.0133,0.0267,2,0.0487,68,4,1
Hemiptera_187,Hemiptera,unknown,0.0097,0.0193,2,0.0487,26,4,1
Hemiptera_144,Hemiptera,unknown,0.0024,0.0048,2,0.0405,8,4,1
Hemiptera_143,Hemiptera,unknown,0,0,1,0.0444,10,4,1
Hemiptera_166,Hemiptera,unknown,0,0,1,0.0405,26,3,2
Hemiptera_40,Hemiptera,unknown,0.015,0.0305,4,0.1226,234,3,3
Hemiptera_150,Hemiptera,unknown,0,0,1,0.1177,11,2,1
Hemiptera_210,Hemiptera,unknown,0,0,1,0.0764,2,4,1
Hemiptera_153,Hemiptera,unknown,0,0,1,0.0883,12,3,1
Hemiptera_14,Hemiptera,unknown,0.0064,0.0118,4,0.0764,166,4,1
Hemiptera_220,Hemiptera,unknown,0,0,1,0.1015,9,2,1
Hemiptera_145,Hemiptera,unknown,0.03,0.0458,4,0.0986,79,3,1
Hemiptera_26,Hemiptera,unknown,0.0087,0.0209,5,0.0429,392,4,1
Hemiptera_97,Hemiptera,unknown,0.0043,0.0076,3,0.0429,105,3,1
Hemiptera_82,Hemiptera,unknown,0.0036,0.0072,2,0.1008,70,4,1
Hemiptera_16,Hemiptera,unknown,0.0036,0.0072,2,0.1076,13,2,2
Hemiptera_22,Hemiptera,unknown,0.0036,0.0072,2,0.0911,455,3,1
Hemiptera_81,Hemiptera,unknown,0,0,1,0.0911,53,4,1
Hemiptera_96,Hemiptera,unknown,0,0,1,0.0708,30,3,1
Hemiptera_131,Hemiptera,unknown,0.0036,0.0072,2,0.0697,92,3,1
Hemiptera_183,Hemiptera,unknown,0,0,1,0.0697,60,4,1
Hemiptera_42,Hemiptera,unknown,0,0,1,0.1017,375,4,1
Hemiptera_21,Hemiptera,unknown,0.0173,0.0387,3,0.0565,754,4,1
Hemiptera_134,Hemiptera,unknown,0.0012,0.0024,2,0.0565,153,4,1
Hemiptera_155,Hemiptera,unknown,0,0,1,0.053,109,4,1
Hymenoptera_4,Hymenoptera,invasive,0,0,1,0.4038,134,4,1
Hymenoptera_5,Hymenoptera,unknown,0.0271,0.0613,10,0.5085,388,3,4
Hymenoptera_13,Hymenoptera,unknown,0,0,1,0.5085,97,2,5
Hymenoptera_16,Hymenoptera,unknown,0.0012,0.0024,2,0.2545,11,2,1
Hymenoptera_18,Hymenoptera,unknown,0,0,1,0.2418,14,1,2
Hymenoptera_15,Hymenoptera,unknown,0,0,1,0.2228,10,4,2
Hymenoptera_12,Hymenoptera,unknown,0,0,1,0.1598,36,4,1
Hymenoptera_7,Hymenoptera,unknown,0,0,1,0.1598,77,4,3
Hymenoptera_19,Hymenoptera,unknown,0,0,1,0.2495,6,4,1
Hymenoptera_2,Hymenoptera,unknown,0,0,1,0.2495,105,3,3
Hymenoptera_10,Hymenoptera,invasive,0,0,1,0.1918,17,4,1
Hymenoptera_8,Hymenoptera,unknown,0,0,1,0.1918,11,3,1
Hymenoptera_20,Hymenoptera,unknown,0,0,1,0.2596,18,1,1
Hymenoptera_3,Hymenoptera,invasive,0,0,1,0.2577,121,1,3
Hymenoptera_14,Hymenoptera,invasive,0,0,1,0.2563,22,2,1
Hymenoptera_6,Hymenoptera,unknown,0.0097,0.0147,3,0.2502,100,1,1
Hymenoptera_1,Hymenoptera,invasive,0.0036,0.0072,2,0.2188,491,2,4
Hymenoptera_17,Hymenoptera,invasive,0,0,1,0.2188,7,2,1
Hymenoptera_11,Hymenoptera,unknown,0.0835,0.1514,6,0.3168,66,2,2
Hymenoptera_9,Hymenoptera,unknown,0.0851,0.1318,4,0.3763,37,1,2
Isopoda_1,Isopoda,invasive,0.0565,0.1172,22,0.1174,19463,4,4
Isopoda_7,Isopoda,unknown,0.0072,0.0174,9,0.1024,273,4,4
Isopoda_4,Isopoda,unknown,0.0064,0.0146,6,0.0961,410,4,4
Isopoda_5,Isopoda,unknown,0.0396,0.0634,4,0.1022,179,4,3
Isopoda_8,Isopoda,unknown,0.0012,0.0024,2,0.0961,39,4,1
Isopoda_10,Isopoda,unknown,0.0184,0.0368,2,0.1226,10,4,1
Isopoda_9,Isopoda,invasive,0,0,1,0.3015,14,1,1
Isopoda_6,Isopoda,native,0,0,1,0.2454,33,3,2
Isopoda_2,Isopoda,unknown,0,0,1,0.2838,410,1,1
Isopoda_3,Isopoda,unknown,0,0,1,0.1742,132,4,3
Lepidoptera_141,Lepidoptera,unknown,0.0086,0.0185,1,0.0252,31,2,1
Lepidoptera_140,Lepidoptera,unknown,0,0,1,0.0228,32,4,1
Lepidoptera_115,Lepidoptera,unknown,0,0,1,0.0395,9,1,1
Lepidoptera_128,Lepidoptera,native,0,0,1,0.0194,21,3,1
Lepidoptera_98,Lepidoptera,unknown,0.0036,0.0072,1,0.032,30,4,1
Lepidoptera_59,Lepidoptera,unknown,0.0032,0.0072,1,0.0379,229,3,1
Lepidoptera_70,Lepidoptera,native,0,0,1,0.0422,74,4,1
Lepidoptera_135,Lepidoptera,unknown,0,0,1,0.0214,35,4,1
Lepidoptera_51,Lepidoptera,unknown,0.0043,0.0098,1,0.0214,87,3,1
Lepidoptera_46,Lepidoptera,native,0,0,1,0.0619,22,3,1
Lepidoptera_22,Lepidoptera,unknown,0,0,1,0.0541,62,2,1
Lepidoptera_8,Lepidoptera,unknown,0,0,1,0.0601,549,4,1
Lepidoptera_62,Lepidoptera,invasive,0,0,1,0.0758,115,4,1
Lepidoptera_61,Lepidoptera,invasive,0.0012,0.0024,1,0.0458,158,4,1
Lepidoptera_6,Lepidoptera,unknown,0.0064,0.0108,1,0.0458,292,4,1
Lepidoptera_107,Lepidoptera,unknown,0,0,1,0.0615,72,3,1
Lepidoptera_101,Lepidoptera,native,0,0,1,0.0544,27,2,1
Lepidoptera_10,Lepidoptera,native,0,0,1,0.0544,127,4,1
Lepidoptera_103,Lepidoptera,unknown,0,0,1,0.2807,53,4,1
Lepidoptera_129,Lepidoptera,unknown,0,0,1,0.0838,43,4,1
Lepidoptera_126,Lepidoptera,native,0,0,1,0.2275,94,3,1
Lepidoptera_2,Lepidoptera,unknown,0,0,1,0.3297,1190,1,4
Lepidoptera_31,Lepidoptera,native,0,0,1,0.2926,85,4,1
Lepidoptera_82,Lepidoptera,unknown,0.0024,0.0048,1,0.2117,111,4,1
Lepidoptera_45,Lepidoptera,unknown,0,0,1,0.1208,50,2,1
Lepidoptera_1,Lepidoptera,invasive,0,0,1,0.1208,6441,4,2
Lepidoptera_99,Lepidoptera,native,0,0,1,0.0422,36,4,1
Lepidoptera_113,Lepidoptera,native,0,0,1,0.1931,75,3,1
Lepidoptera_132,Lepidoptera,unknown,0,0,1,0.0596,24,4,1
Lepidoptera_85,Lepidoptera,unknown,0,0,1,0.0596,22,3,1
Lepidoptera_43,Lepidoptera,native,0,0,1,0.1723,104,4,1
Lepidoptera_4,Lepidoptera,invasive,0,0,1,0.0631,474,4,2
Lepidoptera_125,Lepidoptera,native,0,0,1,0.0243,61,4,1
Lepidoptera_64,Lepidoptera,native,0,0,1,0.0243,53,3,1
Lepidoptera_18,Lepidoptera,native,0,0,1,0.0315,351,3,1
Lepidoptera_37,Lepidoptera,native,0,0,1,0.0368,256,4,1
Lepidoptera_65,Lepidoptera,unknown,0,0,1,0.0675,154,4,1
Lepidoptera_15,Lepidoptera,unknown,0.0053,0.0119,1,0.0205,195,4,1
Lepidoptera_3,Lepidoptera,unknown,0,0,1,0.0205,549,4,2
Lepidoptera_92,Lepidoptera,native,0,0,1,0.0259,57,3,1
Lepidoptera_109,Lepidoptera,native,0.0012,0.0024,1,0.0336,27,4,1
Lepidoptera_139,Lepidoptera,unknown,0,0,1,0.0958,49,4,1
Lepidoptera_134,Lepidoptera,unknown,0,0,1,0.0611,10,2,1
Lepidoptera_17,Lepidoptera,unknown,0.0134,0.0275,1,0.0487,345,4,2
Lepidoptera_124,Lepidoptera,unknown,0,0,1,0.0487,35,4,2
Lepidoptera_11,Lepidoptera,native,0.0076,0.0179,1,0.0253,198,4,1
Lepidoptera_90,Lepidoptera,native,0,0,1,0.0393,56,4,1
Lepidoptera_39,Lepidoptera,unknown,0,0,1,0.0393,30,2,1
Lepidoptera_20,Lepidoptera,unknown,0,0,1,0.0578,233,4,1
Lepidoptera_12,Lepidoptera,unknown,0.0064,0.013,1,0.0787,577,4,1
Lepidoptera_74,Lepidoptera,unknown,0.0021,0.0045,1,0.0627,66,2,1
Lepidoptera_35,Lepidoptera,invasive,0,0,1,0.109,69,4,1
Lepidoptera_50,Lepidoptera,unknown,0.0036,0.0078,1,0.1354,43,4,1
Lepidoptera_29,Lepidoptera,unknown,0.0056,0.0112,1,0.0291,61,4,1
Lepidoptera_13,Lepidoptera,unknown,0,0,1,0.0291,201,4,1
Lepidoptera_130,Lepidoptera,unknown,0,0,1,0.0525,10,2,1
Lepidoptera_5,Lepidoptera,invasive,0,0,1,0.0525,598,4,3
Lepidoptera_121,Lepidoptera,unknown,0,0,1,0.1734,48,4,1
Lepidoptera_36,Lepidoptera,unknown,0,0,1,0.1354,93,2,1
Lepidoptera_131,Lepidoptera,native,0,0,1,0.0218,76,4,1
Lepidoptera_111,Lepidoptera,unknown,0.0012,0.0024,1,0.0668,45,2,1
Lepidoptera_110,Lepidoptera,unknown,0,0,1,0.0188,40,4,1
Lepidoptera_94,Lepidoptera,native,0,0,1,0.0927,52,4,1
Lepidoptera_52,Lepidoptera,unknown,0,0,1,0.0684,86,4,1
Lepidoptera_47,Lepidoptera,unknown,0,0,1,0.0213,275,4,1
Lepidoptera_32,Lepidoptera,unknown,0,0,1,0.0179,550,3,1
Lepidoptera_75,Lepidoptera,native,0,0,1,0.1155,186,3,1
Lepidoptera_127,Lepidoptera,native,0,0,1,0.0485,45,3,1
Lepidoptera_123,Lepidoptera,native,0,0,1,0.0519,30,2,1
Lepidoptera_84,Lepidoptera,unknown,0,0,1,0.0485,27,3,1
Lepidoptera_91,Lepidoptera,unknown,0,0,1,0.0519,52,4,1
Lepidoptera_122,Lepidoptera,unknown,0,0,1,0.0951,61,4,1
Lepidoptera_97,Lepidoptera,unknown,0,0,1,0.0456,62,2,1
Lepidoptera_53,Lepidoptera,unknown,0,0,1,0.0933,206,3,1
Lepidoptera_63,Lepidoptera,native,0.0012,0.0024,1,0.0891,59,4,1
Lepidoptera_67,Lepidoptera,unknown,0,0,1,0.0996,167,4,1
Lepidoptera_119,Lepidoptera,unknown,0,0,1,0.0545,53,3,1
Lepidoptera_72,Lepidoptera,native,0,0,1,0.0545,48,3,1
Lepidoptera_56,Lepidoptera,unknown,0.0024,0.0048,1,0.0766,57,4,1
Lepidoptera_55,Lepidoptera,unknown,0.0077,0.0165,1,0.0861,101,4,1
Lepidoptera_106,Lepidoptera,native,0,0,1,0.0861,17,4,1
Lepidoptera_120,Lepidoptera,unknown,0,0,1,0.0278,78,3,1
Lepidoptera_102,Lepidoptera,unknown,0,0,1,0.0267,23,2,1
Lepidoptera_95,Lepidoptera,unknown,0,0,1,0.0267,30,3,1
Lepidoptera_79,Lepidoptera,unknown,0,0,1,0.0218,81,3,1
Lepidoptera_33,Lepidoptera,unknown,0.0064,0.0141,1,0.068,30,3,1
Lepidoptera_26,Lepidoptera,unknown,0,0,1,0.0234,260,4,1
Lepidoptera_27,Lepidoptera,unknown,0,0,1,0.0691,275,3,1
Lepidoptera_88,Lepidoptera,native,0,0,1,0.1262,75,4,1
Lepidoptera_41,Lepidoptera,unknown,0.0012,0.0024,1,0.1244,223,4,1
Lepidoptera_118,Lepidoptera,native,0.0036,0.0072,1,0.0409,70,4,1
Lepidoptera_77,Lepidoptera,native,0.0069,0.0138,1,0.0372,46,2,1
Lepidoptera_138,Lepidoptera,unknown,0,0,1,0.0372,36,3,1
Lepidoptera_80,Lepidoptera,unknown,0.0036,0.0072,1,0.0448,19,2,1
Lepidoptera_38,Lepidoptera,unknown,0.0072,0.018,1,0.0686,173,4,1
Lepidoptera_73,Lepidoptera,native,0,0,1,0.0506,131,4,1
Lepidoptera_28,Lepidoptera,unknown,0.0012,0.0024,1,0.0506,120,4,1
Lepidoptera_60,Lepidoptera,unknown,0,0,1,0.0584,31,2,2
Lepidoptera_68,Lepidoptera,unknown,0.0046,0.0093,1,0.066,84,4,1
Lepidoptera_23,Lepidoptera,unknown,0.0118,0.0192,1,0.0252,717,4,1
Lepidoptera_57,Lepidoptera,unknown,0,0,1,0.0272,145,3,1
Neuroptera_2,Neuroptera,unknown,0.0266,0.0627,12,0.1031,1461,4,2
Neuroptera_8,Neuroptera,unknown,0.0012,0.0024,2,0.1426,52,3,1
Neuroptera_1,Neuroptera,invasive,0,0,1,0.1426,736,4,1
Neuroptera_3,Neuroptera,unknown,0.0184,0.0379,8,0.0914,803,3,1
Neuroptera_6,Neuroptera,unknown,0,0,1,0.0886,24,3,1
Neuroptera_5,Neuroptera,unknown,0.0123,0.0261,3,0.0886,152,3,1
Neuroptera_4,Neuroptera,unknown,0,0,1,0.0955,95,3,2
Neuroptera_7,Neuroptera,unknown,0,0,1,0.1031,7,1,1
other_1,other,invasive,0.0098,0.0232,12,0.1183,5836,3,4
other_12,other,invasive,0.004,0.0082,3,0.0609,72,4,2
other_23,other,invasive,0,0,1,0.0609,26,4,1
other_15,other,invasive,0,0,1,0.2692,33,4,1
other_3,other,invasive,0,0,1,0.2692,982,4,1
other_4,other,invasive,0.0379,0.0759,11,0.2634,1361,4,2
other_11,other,unknown,0.0432,0.0942,5,0.2894,122,4,1
other_22,other,invasive,0,0,1,0.0365,4,4,1
other_18,other,invasive,0.0012,0.0024,2,0.0365,39,4,1
other_10,other,invasive,0.0012,0.0024,2,0.0436,67,4,1
other_19,other,invasive,0,0,1,0.0525,22,4,1
other_21,other,invasive,0,0,1,0.0615,19,4,1
other_20,other,invasive,0,0,1,0.0795,76,2,1
other_13,other,unknown,0,0,1,0.2875,95,4,1
other_7,other,invasive,0,0,1,0.2851,552,4,1
other_2,other,invasive,0,0,1,0.2851,1594,4,2
other_6,other,unknown,0,0,1,0.3017,120,4,1
other_14,other,invasive,0,0,1,0.3282,14,3,1
other_9,other,invasive,0.0875,0.1749,2,0.2814,203,4,2
other_5,other,invasive,0,0,1,0.3183,465,4,1
other_8,other,invasive,0,0,1,0.3181,431,4,1
other_16,other,invasive,0,0,1,0.1564,42,1,1
other_17,other,invasive,0,0,1,0.1183,3,4,1
Psocoptera_10,Psocoptera,unknown,0.0108,0.0196,4,0.1324,497,2,1
Psocoptera_40,Psocoptera,unknown,0.026,0.0521,2,0.101,16,1,1
Psocoptera_8,Psocoptera,unknown,0.0045,0.009,5,0.101,128,2,2
Psocoptera_19,Psocoptera,unknown,0.0117,0.0286,4,0.1104,163,2,2
Psocoptera_44,Psocoptera,unknown,0,0,1,0.1104,8,1,1
Psocoptera_21,Psocoptera,unknown,0,0,1,0.1302,32,2,2
Psocoptera_25,Psocoptera,unknown,0.0431,0.0866,6,0.1212,258,2,3
Psocoptera_18,Psocoptera,unknown,0.0041,0.0062,6,0.1074,346,1,1
Psocoptera_51,Psocoptera,invasive,0,0,1,0.1074,32,1,1
Psocoptera_30,Psocoptera,unknown,0.0012,0.0024,2,0.1757,44,1,1
Psocoptera_32,Psocoptera,unknown,0,0,1,0.1757,56,2,1
Psocoptera_48,Psocoptera,invasive,0,0,1,0.1867,18,1,1
Psocoptera_9,Psocoptera,unknown,0.0371,0.084,3,0.1921,334,2,2
Psocoptera_15,Psocoptera,unknown,0,0,1,0.1867,172,2,1
Psocoptera_41,Psocoptera,unknown,0,0,1,0.22,16,2,2
Psocoptera_46,Psocoptera,unknown,0,0,1,0.2339,27,2,1
Psocoptera_42,Psocoptera,unknown,0,0,1,0.2011,9,1,1
Psocoptera_36,Psocoptera,unknown,0,0,1,0.1976,15,1,1
Psocoptera_35,Psocoptera,unknown,0,0,1,0.1976,27,1,1
Psocoptera_39,Psocoptera,unknown,0,0,1,0.2407,15,1,1
Psocoptera_5,Psocoptera,unknown,0,0,1,0.2084,352,1,3
Psocoptera_38,Psocoptera,unknown,0,0,1,0.2084,11,1,1
Psocoptera_16,Psocoptera,invasive,0,0,1,0.2087,37,2,2
Psocoptera_29,Psocoptera,unknown,0,0,1,0.2032,28,1,1
Psocoptera_24,Psocoptera,unknown,0,0,1,0.2107,185,1,1
Psocoptera_17,Psocoptera,unknown,0.0012,0.0024,2,0.2071,60,1,1
Psocoptera_23,Psocoptera,unknown,0,0,1,0.2071,35,1,1
Psocoptera_26,Psocoptera,unknown,0.0202,0.0508,5,0.1221,185,1,2
Psocoptera_34,Psocoptera,unknown,0,0,1,0.1062,29,2,1
Psocoptera_31,Psocoptera,unknown,0,0,1,0.1062,30,2,1
Psocoptera_52,Psocoptera,unknown,0,0,1,0.1095,2,1,1
Psocoptera_43,Psocoptera,unknown,0,0,1,0.1095,13,1,1
Psocoptera_50,Psocoptera,unknown,0,0,1,0.1371,39,2,1
Psocoptera_37,Psocoptera,unknown,0,0,1,0.1679,15,1,1
Psocoptera_47,Psocoptera,unknown,0.0115,0.0237,3,0.1086,60,1,1
Psocoptera_12,Psocoptera,unknown,0.0038,0.0082,3,0.0989,298,1,1
Psocoptera_45,Psocoptera,unknown,0,0,1,0.089,55,1,1
Psocoptera_20,Psocoptera,unknown,0,0,1,0.089,36,1,1
Psocoptera_6,Psocoptera,unknown,0.0247,0.0476,7,0.0941,851,1,3
Psocoptera_3,Psocoptera,unknown,0.0187,0.0427,3,0.0941,4233,1,2
Psocoptera_13,Psocoptera,unknown,0.0097,0.0194,2,0.1083,243,1,1
Psocoptera_49,Psocoptera,unknown,0.0121,0.0243,2,0.122,41,1,1
Psocoptera_7,Psocoptera,unknown,0.0154,0.0431,6,0.1219,737,2,3
